"My Account", "Tài khoản của tôi"
"Show Password", "Hiển thị mật khẩu"
"Customer Login", "Đăng nhập"
"Create New Customer Account", "Tạo tài khoản mới"
"You saved the address.","Bạn đã lưu địa chỉ."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Bạn đã thêm %1 vào <a href=""%2"">giỏ hàng của bạn</a>."
"Estimate Shipping and Tax","Ước tính vận chuyển và thuế"
"Subtotal","Giá sản phẩm"
"Reorder","Đặt hàng lại"
"Review & Payments","Đánh giá và thanh toán"
"City/District","Quận/Huyện"
"Place Order","Đặt hàng"
"If you have an account, sign in with your email address or phone number.","Nếu bạn có tài khoản, đăng nhập với email hoặc số điện thoại."
"Email Address or Phone Number","Email hoặc số điện thoại"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Tài khoản đăng nhập không đúng hoặc đã bị vô hiệu hóa. Làm ơn thử lại sau hoặc liên hệ với chúng tôi"
"If you have an account, sign in with your phone number.","Nếu bạn có tài khoản, đăng nhập bằng số điện thoại."
"A customer with the same phone number already exists in an associated website.","Số điện thoại đã được đăng ký. Please liên hệ để với admin để chỉnh sửa"
"Let's create some beautiful moments together by creating your account with Healthy Vibes by email. This also help you restore your email in case you forget your password.","Tạo tài khoản bằng email giúp chúng mình chăm sóc hành trình mua sắm của bạn được tuyệt vời hơn, đồng thời giúp bạn có thể khôi phục lại tài khoản trong trường hợp bạn quên mật khẩu."
"Featured Products","Sản phẩm nổi bật"
"Items %1-%2 of %3","Sản phẩm %1-%2 trong %3 sản phẩm"
"Please note at content payment your phone number to get perfect service from us","Vui lòng điền nội dung chuyển khoản bao gồm số điện thoại bạn để chúng tôi có thể hỗ trợ bạn tốt hơn"
"Read together and live green","Cùng đọc cùng sống xanh"
